hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,1,2016,January,2,3,1,0,2,0,0,SC,SAU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,75,0,0,Canceled,03/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,5,2016,January,2,7,0,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,75,0,0,Canceled,04/01/2016
City Hotel,1,2,2016,January,2,7,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,96,0,1,No-Show,07/01/2016
City Hotel,1,23,2016,January,2,7,1,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,87,0,2,Canceled,15/12/2015
City Hotel,1,12,2016,January,2,7,2,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,87,0,0,Canceled,03/01/2016
City Hotel,1,29,2016,January,2,8,2,5,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,NULL,0,Transient,79.54,0,1,Canceled,03/01/2016
City Hotel,1,29,2016,January,2,8,2,5,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,NULL,0,Transient,79.54,0,1,Canceled,03/01/2016
City Hotel,1,5,2016,January,2,9,0,1,1,0,0,BB,VEN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,75,0,0,Canceled,05/01/2016
City Hotel,1,3,2016,January,2,9,1,1,2,0,0,SC,UKR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,67.5,0,0,Canceled,06/01/2016
City Hotel,1,3,2016,January,2,9,1,1,2,0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,1,Canceled,08/01/2016
City Hotel,1,26,2016,January,2,9,2,4,1,1,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,100,0,1,Canceled,21/12/2015
City Hotel,1,29,2016,January,2,9,2,4,1,1,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,100,0,0,Canceled,11/12/2015
City Hotel,1,79,2016,January,3,10,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NULL,0,Transient,70,0,0,No-Show,10/01/2016
City Hotel,1,8,2016,January,3,10,4,6,1,0,0,BB,SAU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,81.7,0,0,No-Show,10/01/2016
City Hotel,1,4,2016,January,3,10,6,14,1,0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,75.35,0,1,No-Show,10/01/2016
City Hotel,1,7,2016,January,3,11,2,5,1,0,0,BB,ZAF,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,73.9,0,0,No-Show,11/01/2016
City Hotel,1,12,2016,January,3,12,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,69.6,0,0,Canceled,07/01/2016
City Hotel,1,0,2016,January,3,12,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,89,0,0,Canceled,12/01/2016
City Hotel,1,18,2016,January,3,12,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,73.95,0,0,Canceled,01/01/2016
City Hotel,1,11,2016,January,3,12,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,69.6,0,0,Canceled,01/01/2016
City Hotel,1,36,2016,January,3,12,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,60.29,0,0,Canceled,10/12/2015
City Hotel,1,16,2016,January,3,12,4,10,2,2,0,BB,AGO,Direct,Direct,0,0,0,E,E,0,No Deposit,14,NULL,0,Transient,152,0,0,No-Show,12/01/2016
City Hotel,1,8,2016,January,3,12,6,18,1,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,80.62,0,0,No-Show,12/01/2016
City Hotel,1,4,2016,January,3,13,0,1,2,0,0,SC,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,77,0,0,No-Show,13/01/2016
City Hotel,1,35,2016,January,3,13,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Canceled,16/12/2015
City Hotel,1,17,2016,January,3,13,4,10,1,0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,86,0,0,No-Show,13/01/2016
City Hotel,1,9,2016,January,3,13,4,12,2,0,0,SC,ECU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,69.5,0,1,No-Show,13/01/2016
City Hotel,1,1,2016,January,3,14,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,NULL,0,Transient,66.7,0,0,No-Show,14/01/2016
City Hotel,1,4,2016,January,3,14,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,69.5,0,0,Canceled,13/01/2016
City Hotel,1,1,2016,January,3,14,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,NULL,0,Transient,66.7,0,0,No-Show,14/01/2016
City Hotel,1,10,2016,January,3,14,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.3,0,0,Canceled,11/01/2016
City Hotel,1,9,2016,January,3,14,0,2,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,67.5,0,0,Canceled,08/01/2016
City Hotel,1,9,2016,January,3,14,0,2,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,67.5,0,0,Canceled,08/01/2016
City Hotel,1,43,2016,January,3,14,0,3,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient,86.75,0,0,Canceled,10/12/2015
City Hotel,1,43,2016,January,3,14,0,3,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient-Party,86.75,0,0,Canceled,11/12/2015
City Hotel,1,43,2016,January,3,14,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient,86.75,0,0,Canceled,10/12/2015
City Hotel,1,43,2016,January,3,14,0,3,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient,86.75,0,0,Canceled,10/12/2015
City Hotel,1,43,2016,January,3,14,0,3,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient-Party,86.75,0,1,Canceled,11/12/2015
City Hotel,1,43,2016,January,3,14,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient-Party,86.75,0,1,Canceled,11/12/2015
City Hotel,1,38,2016,January,3,14,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,1,Canceled,11/01/2016
City Hotel,1,10,2016,January,3,14,1,3,1,0,0,BB,ZAF,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,79.3,0,0,No-Show,14/01/2016
City Hotel,1,18,2016,January,3,14,4,10,1,0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,75.5,0,0,No-Show,14/01/2016
City Hotel,1,18,2016,January,3,14,4,10,1,0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,75.5,0,0,No-Show,14/01/2016
City Hotel,1,18,2016,January,3,14,4,10,1,0,0,SC,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,76,0,0,No-Show,14/01/2016
City Hotel,1,12,2016,January,3,15,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9,NULL,0,Transient,75,0,0,Canceled,03/01/2016
City Hotel,1,10,2016,January,3,15,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,72.9,0,0,Canceled,11/01/2016
City Hotel,1,10,2016,January,3,15,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,72.9,0,0,Canceled,11/01/2016
City Hotel,1,30,2016,January,3,15,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,75.15,0,1,Canceled,16/12/2015
City Hotel,1,30,2016,January,3,15,0,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9,NULL,0,Transient,150.3,0,1,Canceled,29/12/2015
City Hotel,1,10,2016,January,3,15,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,87,0,1,Canceled,10/01/2016
City Hotel,1,11,2016,January,3,15,1,2,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,75,0,0,Canceled,05/01/2016
City Hotel,1,9,2016,January,3,15,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,87,0,0,Canceled,06/01/2016
City Hotel,1,43,2016,January,3,15,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,60.29,0,0,Canceled,08/12/2015
City Hotel,1,12,2016,January,3,15,2,2,2,0,0,SC,OMN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient-Party,77,0,0,No-Show,15/01/2016
City Hotel,1,11,2016,January,3,15,2,2,0,2,0,BB,OMN,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient-Party,77.25,0,0,Canceled,11/01/2016
City Hotel,1,12,2016,January,3,15,2,2,2,1,0,SC,OMN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,75,0,0,Canceled,10/01/2016
City Hotel,1,18,2016,January,3,15,2,5,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,97,0,0,Canceled,28/12/2015
City Hotel,1,10,2016,January,3,15,8,22,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,72.97,0,1,Canceled,12/01/2016
City Hotel,1,1,2016,January,3,16,0,1,3,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,14,14,0,Transient,108,0,0,No-Show,16/01/2016
City Hotel,1,31,2016,January,3,16,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Canceled,22/12/2015
City Hotel,1,32,2016,January,3,16,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Canceled,09/01/2016
City Hotel,1,2,2016,January,3,16,0,1,1,0,0,BB,PRT,Complementary,Direct,0,0,0,A,F,2,No Deposit,NULL,45,0,Transient,0,0,1,Canceled,16/01/2016
City Hotel,1,92,2016,January,3,16,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,90,0,1,Canceled,11/01/2016
City Hotel,1,4,2016,January,3,16,1,1,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,67.5,0,0,Canceled,12/01/2016
City Hotel,1,34,2016,January,3,16,2,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,1,Canceled,05/01/2016
City Hotel,1,7,2016,January,3,16,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Canceled,13/01/2016
City Hotel,1,11,2016,January,3,16,2,1,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,67.5,0,0,Canceled,10/01/2016
City Hotel,1,8,2016,January,3,16,2,5,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Canceled,08/01/2016
City Hotel,1,9,2016,January,3,16,4,11,1,0,0,BB,MOZ,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,81,0,0,Canceled,07/01/2016
City Hotel,1,7,2016,January,3,16,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,78.3,0,0,Canceled,13/01/2016
City Hotel,1,9,2016,January,4,17,2,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,2,No Deposit,9,NULL,0,Transient,86.25,0,0,Canceled,14/01/2016
City Hotel,1,9,2016,January,4,17,2,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9,NULL,0,Transient,77.25,0,0,Canceled,14/01/2016
City Hotel,1,9,2016,January,4,17,2,0,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,100.3,0,1,Canceled,14/01/2016
City Hotel,1,10,2016,January,4,17,2,0,2,0,0,SC,AND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,75,0,1,Canceled,08/01/2016
City Hotel,1,16,2016,January,4,18,1,1,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,90,0,0,Canceled,06/01/2016
City Hotel,1,15,2016,January,4,18,1,2,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,87,0,0,Canceled,03/01/2016
City Hotel,1,16,2016,January,4,18,1,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,NULL,0,Transient-Party,86.25,0,0,Canceled,04/01/2016
City Hotel,1,16,2016,January,4,18,1,3,0,2,0,BB,BRA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,NULL,0,Transient-Party,77.25,0,0,Canceled,04/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,14,2016,January,4,18,5,10,1,0,0,BB,ZAF,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,75.47,0,0,No-Show,18/01/2016
City Hotel,1,27,2016,January,4,18,5,10,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,76.72,0,0,No-Show,18/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,1,2016,January,4,19,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,81,0,1,No-Show,19/01/2016
City Hotel,1,0,2016,January,4,19,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,65,0,0,Canceled,19/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,12,2016,January,4,19,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,19,NULL,0,Transient-Party,80,0,0,Canceled,18/01/2016
City Hotel,1,36,2016,January,4,19,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,19,NULL,0,Transient-Party,80,0,0,Canceled,07/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,14,2016,January,4,19,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8,NULL,0,Transient,77.6,0,0,Canceled,12/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
City Hotel,1,44,2016,February,8,17,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,3,Transient,75,0,0,Canceled,16/01/2016
